CITY_NAME,S_NAME,_city_,_sname_,dominant,max_count,match_type2
練馬区,上石神井四丁目,練馬区,上石神井四丁目,医療法人社団　杏順会　越川病院,1111,exact
練馬区,上石神井南町,練馬区,上石神井南町,上井草在宅支援診療所,1571,exact
練馬区,下石神井一丁目,練馬区,下石神井一丁目,練馬区石神井休日急患診療所,1672,exact
練馬区,下石神井二丁目,練馬区,下石神井二丁目,練馬区石神井休日急患診療所,1173,exact
練馬区,下石神井三丁目,練馬区,下石神井三丁目,順天堂大学医学部附属練馬病院,975,exact
練馬区,下石神井四丁目,練馬区,下石神井四丁目,順天堂大学医学部附属練馬病院,1411,exact
練馬区,下石神井五丁目,練馬区,下石神井五丁目,練馬区石神井休日急患診療所,906,exact
練馬区,下石神井六丁目,練馬区,下石神井六丁目,順天堂大学医学部附属練馬病院,1847,exact
練馬区,立野町,練馬区,立野町,医療法人社団　千秋会　田中脳神経外科病院,2835,exact
練馬区,関町東一丁目,練馬区,関町東一丁目,医療法人社団　千秋会　田中脳神経外科病院,1836,exact
練馬区,関町東二丁目,練馬区,関町東二丁目,練馬区石神井休日急患診療所,208,exact
練馬区,関町北一丁目,練馬区,関町北一丁目,医療法人社団　遼山会　関町病院,2401,exact
練馬区,関町北二丁目,練馬区,関町北二丁目,医療法人社団　はなぶさ会　島村記念病院,4213,exact
練馬区,関町北三丁目,練馬区,関町北三丁目,医療法人社団　はなぶさ会　島村記念病院,4529,exact
練馬区,関町北四丁目,練馬区,関町北四丁目,医療法人社団　遼山会　関町病院,1365,exact
練馬区,関町北五丁目,練馬区,関町北五丁目,順天堂大学医学部附属練馬病院,1764,exact
練馬区,関町南一丁目,練馬区,関町南一丁目,市毛診療所 東京都練馬区,2442,exact
練馬区,関町南二丁目,練馬区,関町南二丁目,医療法人社団　千秋会　田中脳神経外科病院,3264,exact
練馬区,関町南三丁目,練馬区,関町南三丁目,医療法人社団　千秋会　田中脳神経外科病院,5540,exact
練馬区,関町南四丁目,練馬区,関町南四丁目,医療法人社団　はなぶさ会　島村記念病院,9302,exact
練馬区,東大泉一丁目,練馬区,東大泉一丁目,順天堂大学医学部附属練馬病院,2344,exact
練馬区,東大泉二丁目,練馬区,東大泉二丁目,順天堂大学医学部附属練馬病院,3915,exact
練馬区,東大泉三丁目,練馬区,東大泉三丁目,医療法人社団　久保田産婦人科病院,5315,exact
練馬区,東大泉四丁目,練馬区,東大泉四丁目,順天堂大学医学部附属練馬病院,967,exact
練馬区,東大泉五丁目,練馬区,東大泉五丁目,順天堂大学医学部附属練馬病院,1841,exact
練馬区,東大泉六丁目,練馬区,東大泉六丁目,大泉生協病院,3034,exact
練馬区,東大泉七丁目,練馬区,東大泉七丁目,医療法人社団　純正会　東大泉病院,5007,exact
練馬区,西大泉一丁目,練馬区,西大泉一丁目,順天堂大学医学部附属練馬病院,1453,exact
練馬区,西大泉二丁目,練馬区,西大泉二丁目,順天堂大学医学部附属練馬病院,1554,exact
練馬区,西大泉三丁目,練馬区,西大泉三丁目,順天堂大学医学部附属練馬病院,2072,exact
練馬区,西大泉四丁目,練馬区,西大泉四丁目,医療法人社団　久保田産婦人科病院,1443,exact
練馬区,西大泉五丁目,練馬区,西大泉五丁目,順天堂大学医学部附属練馬病院,2672,exact
練馬区,西大泉六丁目,練馬区,西大泉六丁目,順天堂大学医学部附属練馬病院,1959,exact
練馬区,南大泉一丁目,練馬区,南大泉一丁目,順天堂大学医学部附属練馬病院,1723,exact
練馬区,南大泉二丁目,練馬区,南大泉二丁目,順天堂大学医学部附属練馬病院,1718,exact
練馬区,南大泉三丁目,練馬区,南大泉三丁目,順天堂大学医学部附属練馬病院,1705,exact
練馬区,南大泉四丁目,練馬区,南大泉四丁目,順天堂大学医学部附属練馬病院,3417,exact
練馬区,南大泉五丁目,練馬区,南大泉五丁目,順天堂大学医学部附属練馬病院,1758,exact
練馬区,南大泉六丁目,練馬区,南大泉六丁目,順天堂大学医学部附属練馬病院,465,exact
練馬区,大泉町一丁目,練馬区,大泉町一丁目,順天堂大学医学部附属練馬病院,1055,exact
練馬区,大泉町二丁目,練馬区,大泉町二丁目,順天堂大学医学部附属練馬病院,1862,exact
練馬区,大泉町三丁目,練馬区,大泉町三丁目,順天堂大学医学部附属練馬病院,931,exact
練馬区,大泉町四丁目,練馬区,大泉町四丁目,順天堂大学医学部附属練馬病院,1120,exact
