CITY_NAME,S_NAME,dominant,max_count,topN_dominant,topN_max_count,match_type2
武蔵野市,境三丁目,一般財団法人　天誠会　武蔵境病院,1681,医療法人社団　東京白報会　みたか在宅診療所,1178,exact
武蔵野市,境四丁目,武蔵野赤十字病院,773,武蔵野赤十字病院,773,exact
武蔵野市,境五丁目,武蔵野赤十字病院,2453,武蔵野赤十字病院,2453,exact
武蔵野市,境南町一丁目,武蔵野赤十字病院,6396,武蔵野赤十字病院,6396,exact
武蔵野市,境南町二丁目,境南耳鼻咽喉科診療所,4819,武蔵野赤十字病院,3690,exact
武蔵野市,境南町三丁目,境南耳鼻咽喉科診療所,1603,武蔵野赤十字病院,390,exact
武蔵野市,境南町四丁目,境南耳鼻咽喉科診療所,1249,武蔵野赤十字病院,827,exact
武蔵野市,境南町五丁目,境南耳鼻咽喉科診療所,3417,武蔵野赤十字病院,680,exact
武蔵野市,桜堤一丁目,医療法人　徳洲会　武蔵野徳洲会病院,1220,武蔵野赤十字病院,765,exact
武蔵野市,桜堤二丁目,武蔵野赤十字病院,2030,武蔵野赤十字病院,2030,exact
武蔵野市,桜堤三丁目,医療法人　徳洲会　武蔵野徳洲会病院,1760,武蔵野赤十字病院,88,exact
三鷹市,下連雀一丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,3812,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,3812,exact
三鷹市,下連雀二丁目,杏林大学医学部付属病院,2185,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1411,exact
三鷹市,下連雀三丁目,杏林大学医学部付属病院,3265,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,2224,exact
三鷹市,下連雀四丁目,杏林大学医学部付属病院,2839,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1332,exact
三鷹市,下連雀六丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,4375,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,4375,exact
三鷹市,下連雀七丁目,北多摩中央医療生活協同組合　みなみうら生協診療所,2753,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,2268,exact
三鷹市,下連雀九丁目,医療法人社団　永寿会　三鷹中央病院,1898,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1573,exact
三鷹市,井の頭四丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,6790,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,6790,exact
三鷹市,上連雀一丁目,医療法人社団　東京白報会　みたか在宅診療所,4154,医療法人社団　東京白報会　みたか在宅診療所,4154,exact
三鷹市,上連雀二丁目,医療法人社団　東京白報会　みたか在宅診療所,1223,医療法人社団　東京白報会　みたか在宅診療所,1223,exact
三鷹市,上連雀三丁目,医療法人社団　永寿会　三鷹中央病院,639,武蔵野赤十字病院,411,exact
三鷹市,上連雀四丁目,公益財団法人　井之頭病院,9477,武蔵野赤十字病院,1184,exact
三鷹市,上連雀五丁目,医療法人社団　永寿会　三鷹中央病院,3642,武蔵野赤十字病院,1805,exact
三鷹市,上連雀六丁目,医療法人社団　永寿会　三鷹中央病院,1607,武蔵野赤十字病院,884,exact
三鷹市,上連雀七丁目,医療法人社団　永寿会　三鷹中央病院,2803,武蔵野赤十字病院,1191,exact
三鷹市,上連雀八丁目,杏林大学医学部付属病院,2418,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1818,exact
三鷹市,上連雀九丁目,杏林大学医学部付属病院,1913,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1398,exact
三鷹市,井口一丁目,武蔵野赤十字病院,3287,武蔵野赤十字病院,3287,exact
三鷹市,井口二丁目,医療法人社団　永寿会　三鷹中央病院,971,武蔵野赤十字病院,601,exact
三鷹市,井口三丁目,境南耳鼻咽喉科診療所,760,武蔵野赤十字病院,612,exact
三鷹市,井口四丁目,医療法人社団　永寿会　三鷹中央病院,863,武蔵野赤十字病院,688,exact
三鷹市,井口五丁目,医療法人社団　永寿会　三鷹中央病院,382,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,364,exact
三鷹市,深大寺一丁目,武蔵野赤十字病院,1163,武蔵野赤十字病院,1163,exact
三鷹市,深大寺二丁目,武蔵野赤十字病院,1516,武蔵野赤十字病院,1516,exact
三鷹市,深大寺三丁目,武蔵野赤十字病院,756,武蔵野赤十字病院,756,exact
三鷹市,野崎一丁目,杏林大学医学部付属病院,671,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,527,exact
三鷹市,野崎二丁目,杏林大学医学部付属病院,1663,武蔵野赤十字病院,1627,exact
三鷹市,野崎三丁目,武蔵野赤十字病院,1740,武蔵野赤十字病院,1740,exact
三鷹市,野崎四丁目,医療法人社団　永寿会　三鷹中央病院,273,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,163,exact
三鷹市,大沢三丁目,杏林大学医学部付属病院,947,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,824,exact
調布市,深大寺北町三丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,415,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,415,exact
調布市,深大寺北町四丁目,医療法人社団　欣助会　吉祥寺病院,9505,武蔵野赤十字病院,591,exact
調布市,深大寺北町五丁目,医療法人社団　欣助会　吉祥寺病院,11325,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,137,exact
調布市,深大寺北町六丁目,杏林大学医学部付属病院,919,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,589,exact
調布市,深大寺東町八丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,737,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,737,exact
小金井市,東町一丁目,武蔵野赤十字病院,1009,武蔵野赤十字病院,1009,exact
小金井市,東町二丁目,武蔵野赤十字病院,996,武蔵野赤十字病院,996,exact
小金井市,東町三丁目,公益財団法人　井之頭病院,1077,武蔵野赤十字病院,367,exact
小金井市,東町四丁目,武蔵野赤十字病院,1425,武蔵野赤十字病院,1425,exact
小金井市,東町五丁目,小金井リハビリテーション病院,1429,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,539,exact
小金井市,梶野町一丁目,武蔵野赤十字病院,200,武蔵野赤十字病院,200,exact
小金井市,梶野町二丁目,武蔵野赤十字病院,296,武蔵野赤十字病院,296,exact
小金井市,梶野町三丁目,社会福祉法人　聖ヨハネ会　桜町病院,375,武蔵野赤十字病院,363,exact
小金井市,梶野町四丁目,武蔵野赤十字病院,1571,武蔵野赤十字病院,1571,exact
小金井市,梶野町五丁目,武蔵野赤十字病院,994,武蔵野赤十字病院,994,exact
小金井市,関野町一丁目,共立診療所,195,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,118,exact
小金井市,関野町二丁目,社会福祉法人　聖ヨハネ会　桜町病院,734,武蔵野赤十字病院,115,exact
小金井市,緑町一丁目,武蔵野赤十字病院,521,武蔵野赤十字病院,521,exact
小金井市,緑町二丁目,社会福祉法人　聖ヨハネ会　桜町病院,1639,武蔵野赤十字病院,856,exact
小金井市,緑町三丁目,社会福祉法人　聖ヨハネ会　桜町病院,2989,武蔵野赤十字病院,709,exact
小金井市,緑町四丁目,社会福祉法人　聖ヨハネ会　桜町病院,2224,武蔵野赤十字病院,499,exact
小金井市,緑町五丁目,社会福祉法人　聖ヨハネ会　桜町病院,4250,武蔵野赤十字病院,2540,exact
小金井市,中町一丁目,医療法人社団　大日会　小金井太陽病院,1948,武蔵野赤十字病院,936,exact
