town,town_norm,CITY_NAME_from_master,S_NAME_from_master,total_87,東久留米市休日診療所,佐々総合病院,公立昭和病院,武蔵野赤十字病院,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,緑風荘病院,杏林大学医学部付属病院,順天堂大学医学部附属練馬病院,医療法人社団　東京白報会　みたか在宅診療所,医療法人　徳洲会　武蔵野徳洲会病院
武蔵野市吉祥寺東町四丁目,武蔵野市吉祥寺東町四丁目,武蔵野市,吉祥寺東町四丁目,4756,0.0,74.0,0.0,632.0,270.0,0.0,189.0,0.0,0.0,0.0
武蔵野市吉祥寺南町一丁目,武蔵野市吉祥寺南町一丁目,武蔵野市,吉祥寺南町一丁目,8857,0.0,0.0,37.0,429.0,5142.0,0.0,722.0,0.0,39.0,37.0
武蔵野市吉祥寺南町二丁目,武蔵野市吉祥寺南町二丁目,武蔵野市,吉祥寺南町二丁目,7779,0.0,0.0,0.0,305.0,2938.0,63.0,1462.0,217.0,0.0,0.0
武蔵野市吉祥寺南町四丁目,武蔵野市吉祥寺南町四丁目,武蔵野市,吉祥寺南町四丁目,10001,0.0,124.0,0.0,431.0,2004.0,0.0,689.0,0.0,328.0,84.0
武蔵野市吉祥寺南町五丁目,武蔵野市吉祥寺南町五丁目,武蔵野市,吉祥寺南町五丁目,3663,0.0,73.0,0.0,230.0,848.0,0.0,319.0,0.0,38.0,0.0
武蔵野市御殿山一丁目,武蔵野市御殿山一丁目,武蔵野市,御殿山一丁目,8172,0.0,0.0,0.0,0.0,4425.0,0.0,166.0,0.0,164.0,0.0
武蔵野市御殿山二丁目,武蔵野市御殿山二丁目,武蔵野市,御殿山二丁目,6406,0.0,0.0,0.0,420.0,1582.0,34.0,905.0,0.0,1093.0,158.0
武蔵野市吉祥寺本町一丁目,武蔵野市吉祥寺本町一丁目,武蔵野市,吉祥寺本町一丁目,4238,0.0,0.0,0.0,57.0,1608.0,0.0,179.0,0.0,0.0,56.0
武蔵野市吉祥寺本町二丁目,武蔵野市吉祥寺本町二丁目,武蔵野市,吉祥寺本町二丁目,6632,0.0,0.0,0.0,606.0,1808.0,0.0,812.0,0.0,0.0,66.0
武蔵野市吉祥寺本町三丁目,武蔵野市吉祥寺本町三丁目,武蔵野市,吉祥寺本町三丁目,11134,0.0,0.0,0.0,1731.0,4013.0,0.0,429.0,0.0,713.0,177.0
武蔵野市吉祥寺本町四丁目,武蔵野市吉祥寺本町四丁目,武蔵野市,吉祥寺本町四丁目,13307,0.0,98.0,0.0,442.0,2870.0,0.0,1649.0,0.0,244.0,0.0
武蔵野市吉祥寺北町一丁目,武蔵野市吉祥寺北町一丁目,武蔵野市,吉祥寺北町一丁目,15429,0.0,122.0,76.0,841.0,3310.0,0.0,941.0,0.0,81.0,0.0
武蔵野市吉祥寺北町二丁目,武蔵野市吉祥寺北町二丁目,武蔵野市,吉祥寺北町二丁目,11507,0.0,0.0,75.0,1494.0,1583.0,0.0,175.0,0.0,104.0,162.0
武蔵野市吉祥寺北町三丁目,武蔵野市吉祥寺北町三丁目,武蔵野市,吉祥寺北町三丁目,13146,240.0,224.0,0.0,605.0,1124.0,0.0,1399.0,0.0,206.0,0.0
武蔵野市吉祥寺北町四丁目,武蔵野市吉祥寺北町四丁目,武蔵野市,吉祥寺北町四丁目,14915,0.0,59.0,56.0,670.0,877.0,0.0,508.0,73.0,2546.0,0.0
武蔵野市吉祥寺北町五丁目,武蔵野市吉祥寺北町五丁目,武蔵野市,吉祥寺北町五丁目,10468,0.0,0.0,0.0,310.0,345.0,0.0,53.0,0.0,849.0,154.0
武蔵野市中町一丁目,武蔵野市中町一丁目,武蔵野市,中町一丁目,9057,0.0,0.0,0.0,852.0,733.0,0.0,434.0,0.0,3695.0,0.0
武蔵野市中町二丁目,武蔵野市中町二丁目,武蔵野市,中町二丁目,16543,56.0,0.0,0.0,284.0,1260.0,0.0,1082.0,0.0,5084.0,218.0
武蔵野市中町三丁目,武蔵野市中町三丁目,武蔵野市,中町三丁目,21439,0.0,271.0,0.0,1884.0,2434.0,0.0,1188.0,0.0,4169.0,66.0
武蔵野市西久保一丁目,武蔵野市西久保一丁目,武蔵野市,西久保一丁目,11766,0.0,114.0,0.0,627.0,351.0,0.0,611.0,0.0,4202.0,227.0
武蔵野市西久保二丁目,武蔵野市西久保二丁目,武蔵野市,西久保二丁目,18798,0.0,51.0,56.0,1188.0,1194.0,0.0,672.0,0.0,6536.0,165.0
武蔵野市西久保三丁目,武蔵野市西久保三丁目,武蔵野市,西久保三丁目,22988,0.0,270.0,59.0,706.0,913.0,0.0,1049.0,0.0,8279.0,131.0
武蔵野市緑町一丁目,武蔵野市緑町一丁目,武蔵野市,緑町一丁目,9319,0.0,0.0,0.0,622.0,838.0,0.0,275.0,39.0,1300.0,80.0
武蔵野市緑町二丁目,武蔵野市緑町二丁目,武蔵野市,緑町二丁目,33266,0.0,167.0,53.0,2676.0,1305.0,0.0,1172.0,79.0,4661.0,493.0
武蔵野市緑町三丁目,武蔵野市緑町三丁目,武蔵野市,緑町三丁目,2487,0.0,129.0,0.0,326.0,244.0,0.0,0.0,0.0,469.0,0.0
武蔵野市八幡町一丁目,武蔵野市八幡町一丁目,武蔵野市,八幡町一丁目,15910,0.0,0.0,0.0,666.0,196.0,0.0,0.0,0.0,818.0,184.0
武蔵野市八幡町二丁目,武蔵野市八幡町二丁目,武蔵野市,八幡町二丁目,1556,0.0,0.0,0.0,300.0,0.0,0.0,163.0,0.0,174.0,0.0
武蔵野市八幡町三丁目,武蔵野市八幡町三丁目,武蔵野市,八幡町三丁目,4179,0.0,73.0,159.0,56.0,435.0,126.0,0.0,0.0,1235.0,106.0
武蔵野市八幡町四丁目,武蔵野市八幡町四丁目,武蔵野市,八幡町四丁目,5263,0.0,148.0,0.0,320.0,208.0,50.0,0.0,0.0,472.0,257.0
武蔵野市関前一丁目,武蔵野市関前一丁目,武蔵野市,関前一丁目,1633,0.0,0.0,0.0,23.0,152.0,0.0,246.0,0.0,538.0,0.0
武蔵野市関前二丁目,武蔵野市関前二丁目,武蔵野市,関前二丁目,11944,0.0,279.0,0.0,442.0,812.0,118.0,467.0,0.0,4204.0,153.0
武蔵野市関前三丁目,武蔵野市関前三丁目,武蔵野市,関前三丁目,10680,0.0,0.0,0.0,667.0,330.0,58.0,198.0,0.0,3697.0,374.0
武蔵野市関前四丁目,武蔵野市関前四丁目,武蔵野市,関前四丁目,3035,0.0,63.0,65.0,210.0,53.0,150.0,0.0,0.0,225.0,317.0
武蔵野市関前五丁目,武蔵野市関前五丁目,武蔵野市,関前五丁目,4235,0.0,0.0,0.0,722.0,122.0,0.0,112.0,0.0,240.0,901.0
武蔵野市境一丁目,武蔵野市境一丁目,武蔵野市,境一丁目,10126,0.0,397.0,0.0,1886.0,298.0,77.0,637.0,0.0,351.0,233.0
武蔵野市境二丁目,武蔵野市境二丁目,武蔵野市,境二丁目,10800,71.0,0.0,0.0,1105.0,505.0,0.0,1210.0,0.0,254.0,69.0
武蔵野市境三丁目,武蔵野市境三丁目,武蔵野市,境三丁目,6283,0.0,69.0,81.0,822.0,200.0,0.0,773.0,0.0,1178.0,141.0
