医療機関名,保険区分,都道府県名,市区町村名,所在地,緯度,経度,distance_km,病床数計,診療科目
森田内科クリニック,医科,東京都,大田区,大田区下丸子三丁目１７番８号　サンブライアンスハイツ１階,35.57048,139.68515,22.104030177617343,0,内 循環器内科 糖尿病内科
おおつか耳鼻咽喉科クリニック,医科,東京都,大田区,大田区下丸子三丁目１７番８号　サンブライアンスハイツ１階,35.57048,139.68515,22.104030177617343,0,耳い
医療法人社団　輝生会　たいとう診療所,医科,東京都,台東区,台東区元浅草一丁目６番１７号　ＮＩＣ上野ビル,35.70844,139.78224,22.10489444490826,0,リハ 内
ランディック日本橋クリニック,医科,東京都,中央区,中央区日本橋二丁目１６番１３号　ランディック日本橋ビル２階,35.68035,139.77597,22.108836143397507,0,内 精 神 循 心内
日本橋クラウドクリニック,医科,東京都,中央区,中央区日本橋２丁目１６－３　ブリリアンビル３階　Ｂ号室,35.68035,139.77597,22.108836143397507,0,内
仲町台駅前まつのぶクリニック,医科,神奈川県,横浜市都筑区,横浜市都筑区仲町台１－２－２０　フロンティアビル２０２号,35.53521,139.58931,22.110475980671332,0,内 外 消内 内視内 肛外
アンセネクリニック築地,医科,東京都,中央区,中央区築地２－１２－８　大広ビル２階,35.6682,139.77164,22.11219412419349,0,形外 皮 美容皮膚科
ＯＫＰ　ｗｉｔｈ　Ｌｉｆｅ　クリニック,医科,埼玉県,さいたま市北区,さいたま市北区櫛引町二丁目４８８番地１,35.92058,139.60788,22.112345411979764,0,整外 リハ 内 リウ
たつのシティタワークリニック,医科,東京都,品川区,品川区大井一丁目３１番１号　シティタワー大井町１０２,35.60593,139.73033,22.11300862298676,0,小 小児神経・精神科
医療法人社団　おおいまち消化器外科クリニック,医科,東京都,品川区,品川区大井一丁目３１番１２号　ユウビル２階・３階,35.60593,139.73033,22.11300862298676,0,消化器内科 大腸・肛門外科
町田心療クリニック,医科,東京都,町田市,町田市森野一丁目３６番１０号　杉井ビル７階,35.546,139.44516,22.117207427757513,0,精 神 心内
八丁堀山下内科クリニック,医科,東京都,中央区,中央区八丁堀２丁目４－１－２０２,35.67725,139.77505,22.11729237454789,0,内
藤川クリニック,医科,東京都,大田区,大田区千鳥三丁目７番２号,35.57328,139.68994,22.119744289860776,0,内 胃 外 こう
医療法人社団　博樹会　西クリニック,医科,東京都,台東区,台東区浅草橋五丁目５番１０号　浅草橋西ビル４階,35.70001,139.78105,22.11993666026571,0,内 循 腎臓内科 人工透析内科
耳鼻咽喉科気管食道科古屋医院,医科,東京都,品川区,品川区大井二丁目１２番１号,35.60533,139.72986,22.12152485845975,0,耳い 気食 アレ
木田医院,医科,東京都,荒川区,荒川区町屋三丁目２７番９号,35.7496,139.7827,22.12328121529795,0,内 外 胃
水谷耳鼻咽喉科クリニック,医科,埼玉県,さいたま市大宮区,さいたま市大宮区堀ノ内１－２１０,35.91111,139.63976,22.12359728121178,0,耳い 小
島村医院,医科,埼玉県,日高市,日高市大谷沢６３８－１,35.88087,139.37914,22.12691234390004,0,内 外 循 消 整外 アレ
わたなべ眼科医院,医科,神奈川県,川崎市中原区,川崎市中原区北谷町４５－３アズハウス１Ｆ,35.56227,139.67104,22.128780175415237,0,眼
半沢クリニック,医科,神奈川県,相模原市中央区,相模原市中央区渕野辺１－１０－１３ライオンズマンション１０２,35.57142,139.39041,22.131497164864058,0,内 小 放
医療法人　みよしクリニック,医科,埼玉県,さいたま市大宮区,さいたま市大宮区大成町３丁目２４８番地１,35.91864,139.61647,22.13811672004894,0,胃 外
根岸耳鼻咽喉科気管食道科医院,医科,東京都,八王子市,八王子市楢原町１４８３番地１２,35.68358,139.30028,22.140442410965495,0,耳い 気食 呼 内 アレ
田中医院,医科,東京都,足立区,足立区西新井本町二丁目２番１号,35.77729,139.77708,22.141883084152234,0,内 小 眼
医療法人社団　曽谷村医院,医科,東京都,台東区,台東区鳥越一丁目７番１号　曽谷村ビル１階,35.7023,139.78172,22.142875586489172,0,内 消
雅クリニック,医科,東京都,町田市,町田市原町田六丁目１７番４号　芳村ビル１階１号室,35.54517,139.44687,22.144083686474904,0,精 心内
エイティークリニック,医科,東京都,中央区,中央区日本橋一丁目１８番１２号　エフ・ヴェー日本橋ビル１階,35.68317,139.77724,22.144093602463194,0,内
ＺＥＮクリニック,医科,東京都,中央区,中央区新富１－７－１１　マルイビル３階,35.67226,139.77359,22.144620077283783,0,内 美容皮膚科
医療法人社団　まごころ会　町田まごころクリニック,医科,東京都,町田市,町田市森野二丁目８番１５号　ＡＷＡ渋谷ビル地下１階,35.5482,139.43813,22.144672022103627,0,心内 精
神野眼科医院,医科,神奈川県,相模原市中央区,相模原市中央区鹿沼台１－１５－２ＧＦビル２Ｆ,35.56747,139.39673,22.146887957076018,0,眼
町田東口クリニック,医科,東京都,町田市,町田市森野一丁目３５番８号　ヴィンテージⅡ３階,35.54587,139.44467,22.147536187229125,0,産婦 内 女性内科（性感染症）
つるまるクリニック,医科,東京都,町田市,町田市森野一丁目３５番８号　ヴィンテージⅡ４階,35.54587,139.44467,22.147536187229125,0,精 心内
独立行政法人地域医療機能推進機構　相模野病院,医科,神奈川県,相模原市中央区,相模原市中央区淵野辺１－２－３０,35.57259,139.38823,22.148515482335995,212,内 小 外 整外 皮 ひ 産婦 眼 麻 歯外 呼内 神内 リウ リハ 消内 消外 放 循内 腎内 血内 乳外 血管外
すこやかクリニック,医科,東京都,町田市,町田市森野一丁目３７番１１号　フラワー吉田ビル３０１号室,35.54556,139.44553,22.149681664066193,0,内 精 神 心内
佐藤内科クリニック,医科,神奈川県,相模原市中央区,相模原市中央区渕野辺１－１－１２,35.57191,139.38928,22.150273967339313,0,内 消 アレ 放 リウ 皮 小 糖代内
まちや耳鼻咽喉科クリニック,医科,東京都,荒川区,荒川区町屋三丁目９番１２号　町屋ビル２階２０１,35.74762,139.78325,22.152136452381967,0,耳鼻咽喉科 小児耳鼻咽喉科 アレ
黒江医院,医科,東京都,町田市,町田市原町田六丁目２４番１１号,35.54439,139.44901,22.152953062737573,0,内 呼
上野医院,医科,東京都,品川区,品川区北品川二丁目１８番２号,35.61763,139.74153,22.154759132014686,0,内
つきじ心のクリニック,医科,東京都,中央区,中央区築地二丁目８番１０号　築地Ｋ＆ＲⅡ　ＴＯＤＡビル６階,35.66928,139.77257,22.155172690677396,0,精 心内
医療法人財団　健康睡眠会　日本橋循環器科クリニック,医科,東京都,中央区,中央区日本橋小伝馬町１３番４号　共同ビル２０１号室,35.69096,139.7795,22.156633465342676,0,内 循 アレ
町田メンタル内科クリニック,医科,東京都,町田市,町田市森野一丁目２５番１５号　グリーンシンフォニービル１０２号室,35.54618,139.44345,22.158347604767908,0,精神神経科 精 神内 心内 皮 神 内
信州会クリニック,医科,東京都,中央区,中央区日本橋堀留町一丁目２番１３号　信州会ビル３階,35.68824,139.77884,22.15959927469189,0,内 皮 麻 アレ
兜町診療所,医科,東京都,中央区,中央区日本橋兜町１７番１号　日本橋ロイヤルプラザ１０１,35.67904,139.77615,22.161378888387105,0,内 胃 外 こう
清水医院,医科,東京都,台東区,台東区根岸四丁目１４番２０号,35.72581,139.78426,22.16160408808175,0,内 放 循
なかまちだい　おたべ小児科クリニック,医科,神奈川県,横浜市都筑区,横浜市都筑区仲町台１－９－８プリーマ仲町台１Ｆ,35.53496,139.59076,22.165071163128808,0,小 アレ
高橋耳鼻咽喉科医院,医科,埼玉県,川越市,川越市月吉町３８－２,35.92225,139.47467,22.170017689059698,0,耳い 気食 小
新吉田医院,医科,神奈川県,横浜市港北区,横浜市港北区新吉田町３６２２－３,35.53968,139.61304,22.176358757279676,0,内 循 小 皮
日本橋大三クリニック,医科,東京都,中央区,中央区日本橋小伝馬町１５番１７号　ＡＳＫ日本橋ビル４階,35.69196,139.77997,22.176774756202814,0,内 消
本村耳鼻咽喉科クリニック,医科,東京都,品川区,品川区北品川二丁目１９番１５号,35.61795,139.74213,22.179580854082587,0,耳い 気食 小 アレ 内
アレジオ銀座クリニック,医科,東京都,中央区,中央区築地二丁目９番５号　Ｔ＆Ｍビル１階～３階,35.66913,139.7728,22.18004618305068,0,耳い 漢方内科 疼痛緩和内科
町屋一本松眼科クリニック,医科,東京都,荒川区,荒川区町屋三丁目９番１５号,35.74753,139.78358,22.180920422295962,0,眼
のぞみクリニック,医科,東京都,品川区,品川区北品川二丁目９番１２号　Ｍａｒｅ北品川１階,35.61874,139.74286,22.185135535799418,0,内 内科（感染症） 消化器内科 小 外
医療法人社団　青木医院,医科,東京都,中央区,中央区築地二丁目１１番４号,35.66856,139.77264,22.185716585879582,0,産婦 整外 麻
医療法人社団　新町クリニック,医科,東京都,青梅市,青梅市新町三丁目５３番５号,35.78192,139.30148,22.18612533987501,0,内 神内 外 婦 消化器内科 循環器内科 漢方内科
医療法人社団　多摩医療会　原町田診療所,医科,東京都,町田市,町田市原町田四丁目１７番１１号,35.54311,139.45201,22.188195736580408,0,内 消 循 小
大伝馬クリニック,医科,東京都,中央区,中央区日本橋大伝馬町９番７号,35.69062,139.77979,22.18974763329989,0,内 小 皮
せきクリニック,医科,埼玉県,さいたま市大宮区,さいたま市大宮区大成町３－２６０,35.91888,139.61748,22.19237049411388,0,小 内
おぐちこどもクリニック,医科,神奈川県,相模原市中央区,相模原市中央区鹿沼台１－７－７,35.56939,139.39258,22.194329134752255,0,小
古淵駅前レディースクリニック,医科,神奈川県,相模原市南区,相模原市南区古淵２－１６－１　セントラル喜和２Ｆ,35.55558,139.41882,22.197034682817645,3,産婦
