town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,林医院,おおすが内科クリニック,安田内科クリニック,ウェルネス高井クリニック,みのかも西クリニック,医療法人香徳会 関中央病院,岐阜県厚生農業協同組合連合会 中濃厚生病院,藤井クリニック,土屋クリニック,中部国際医療センター,医療法人社団秀洋会 阿知波医院,下條内科クリニック,なかの内科クリニック,臼井ハツラツクリニック,堀部医院,林クリニック,美濃市立美濃病院,山手クリニック,てらしまクリニック,いとしろクリニック,小島内科,さぐち内科,石木クリニック,真鍋内科,西田醫院,関市国民健康保険津保川診療所,こくぼクリニック,竹内医院,杉山クリニック,大矢クリニック,青山内科,カブチ山田クリニック,みの長村医院,医療法人清仁会 のぞみの丘ホスピタル,医療法人春陽会 慈恵中央病院,明星診療所,滝谷医院,みうら内科・糖尿病クリニック,一般財団法人岐阜健康管理センター すこやかクリニック,大前医院おぜ診療所,いこまファミリークリニック
関市中之保,関市,中之保,21205949003,2.2565766607687756,137.02266863288625,35.56444839904213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市上之保名倉,関市,上之保名倉,21205959000,2.3408114162439646,137.02233792415916,35.60328479141992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市富之保,関市,富之保,21205950002,2.355706951163027,137.0050634183848,35.60337543241759,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市中之保,関市,中之保,21205949006,2.4690109245003966,137.04086795082176,35.58057291807489,0.0,0.0,0.0,57.0,0.0,0.0,0.0,27.0,18.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市中之保,関市,中之保,21205949005,2.516017199016186,137.03697417355275,35.57090688349935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市中之保,関市,中之保,21205949004,2.7976136216938503,137.03425366163214,35.56454674770579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市富之保,関市,富之保,21205950003,2.8503060227671417,136.9917386865262,35.601731151750144,86.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市上之保和田野,関市,上之保和田野,21205956000,3.120348220804285,137.0331089124288,35.60666693940894,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市上之保先谷,関市,上之保先谷,21205957000,3.1959892679803357,137.018589994512,35.61188995267008,0.0,85.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市下之保,関市,下之保,21205948001,3.2003412172162276,136.9818403252401,35.571040798009584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
