town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,小林内科クリニック,鳥羽市休日・夜間応急診療所,赤坂クリニック,中村クリニック,医療法人(社団)医心会齋木内科,おかむらクリニック,三重県立志摩病院,医療法人山﨑整形外科,近藤医院,でぐち内科クリニック,志摩市休日夜間応急診療所,服部内科,豊和病院,林クリニック,二見浦内科 アレルギー科・皮フ科・小児科,池田ファミリークリニック,医療法人日比クリニック,鳥羽市立長岡診療所,伊勢志摩腎クリニック志摩分院,おかむね医院,西岡記念セントラルクリニック,医療法人社団中瀬外科整形外科,近藤内科,鳥羽市立鏡浦診療所今浦分室,鳥羽市立鏡浦診療所,尾崎内科,鳥羽市立鏡浦診療所石鏡分室,谷岡医院
伊勢市二見町松下,伊勢市,二見町松下,24203074000,14.900126055174745,136.80328485163216,34.495844481762134,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳥羽市小浜町,鳥羽市,小浜町,24211006000,15.644478418674165,136.82024376669904,34.51295352342443,4076.0,857.0,327.0,665.0,0.0,53.0,0.0,431.0,51.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊勢市二見町江,伊勢市,二見町江,24203075000,16.241703043195866,136.78976491497482,34.50239329694679,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊勢市二見町三津,伊勢市,二見町三津,24203077000,16.8064967148017,136.77707811211465,34.49996449197706,706.0,0.0,0.0,0.0,75.0,0.0,692.0,0.0,0.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊勢市二見町茶屋,伊勢市,二見町茶屋,24203076000,17.048562164503714,136.78140416437643,34.50608146879481,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊勢市二見町光の街,伊勢市,二見町光の街,24203083000,17.451669130572352,136.76223271404595,34.49584918585323,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊勢市二見町山田原,伊勢市,二見町山田原,24203078000,17.552697570037562,136.76606112854435,34.50048296692142,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊勢市二見町荘,伊勢市,二見町荘,24203080000,17.93469827445901,136.76925192265395,34.507823587160495,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2655.0,0.0,0.0,0.0,0.0,1316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊勢市楠部町,伊勢市,楠部町,24203006000,17.996694497305786,136.73729882146816,34.477201700259506,387.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,390.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊勢市鹿海町,伊勢市,鹿海町,24203061000,18.02270609835094,136.74857003472795,34.49057635156938,499.0,891.0,0.0,242.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊勢市二見町溝口,伊勢市,二見町溝口,24203079000,18.32188485199962,136.7571442996197,34.50282887824681,691.0,148.0,0.0,46.0,0.0,50.0,0.0,0.0,0.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊勢市二見町西,伊勢市,二見町西,24203081000,18.9575215749745,136.75807724797608,34.51175711149189,1738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1244.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
