town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,下田メディカルセンター,公益社団法人地域医療振興協会 伊豆今井浜病院,河井医院,ひがしなかクリニック,医療法人社団健育会西伊豆健育会病院,上の山鎮目クリニック,公益社団法人地域医療振興協会 上河津診療所,菊池医院,佐倉医院,臼井医院,医療法人社団康心会 康心会伊豆東部病院,飯島医院,かわづクリニック,白津医院,公益社団法人地域医療振興協会 いなずさ診療所,佐藤医院,医療法人社団桑寿会 下田温泉病院,公益社団法人地域医療振興協会 伊豆下田診療所,鈴木クリニック,医療法人慈愛会 石田医院,医療法人社団辰五会 ふれあい南伊豆ホスピタル,はらクリニック,中江医院,かとうクリニック,のぞみ記念 下田循環器・腎臓クリニック,小川クリニック,下田メディカルセンター附属みなとクリニック
下田市六丁目,下田市,六丁目,22219016000,5.375020915474067,138.93333565453526,34.67458763535051,3810.0,972.0,1814.0,1264.0,85.0,985.0,0.0,90.0,427.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,97.0,0.0,197.0,95.0,0.0,0.0,85.0,0.0,0.0
河津町峰,河津町,峰,22302007000,5.4254364546503435,138.97689190958886,34.7534350833644,0.0,670.0,0.0,263.0,0.0,225.0,66.0,0.0,0.0,0.0,380.0,0.0,64.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0
下田市四丁目,下田市,四丁目,22219014000,5.437516032301342,138.9409060891876,34.674712215443115,826.0,197.0,508.0,0.0,0.0,0.0,0.0,335.0,203.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町小鍋,河津町,小鍋,22302017000,5.48849480529613,138.93794537448784,34.771863648152596,45.0,0.0,0.0,0.0,0.0,0.0,328.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市二丁目,下田市,二丁目,22219012000,5.568698849754709,138.94389102871364,34.67399919602186,689.0,210.0,643.0,335.0,0.0,453.0,50.0,979.0,210.0,509.0,0.0,0.0,0.0,0.0,357.0,0.0,0.0,186.0,0.0,0.0,0.0,55.0,0.0,0.0,51.0,0.0,0.0
下田市武ガ浜,下田市,武ガ浜,22219061000,5.660463841581531,138.94802235029104,34.67402365937963,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町川津筏場,河津町,川津筏場,22302021000,5.665973891014982,138.9610509486252,34.76726616236452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市加増野,下田市,加増野,22219046000,5.684623077380793,138.8684346769966,34.721367694098724,0.0,374.0,278.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町峰,河津町,峰,22302006000,5.870725540556493,138.97377061199163,34.76198248701687,0.0,668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市柿崎,下田市,柿崎,22219062000,5.921953572321738,138.95518394151935,34.67359899430392,986.0,369.0,643.0,518.0,320.0,924.0,0.0,208.0,0.0,68.0,0.0,228.0,0.0,0.0,0.0,0.0,437.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市五丁目,下田市,五丁目,22219015000,6.061925378711036,138.936728600152,34.66859091851725,234.0,144.0,391.0,60.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0
下田市三丁目,下田市,三丁目,22219013000,6.172077499279336,138.9449211680365,34.66862949391804,1189.0,248.0,970.0,352.0,63.0,70.0,0.0,266.0,62.0,188.0,0.0,0.0,0.0,0.0,60.0,208.0,0.0,121.0,572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町川津筏場,河津町,川津筏場,22302022000,6.2923290065503945,138.9675168235809,34.77064892710479,0.0,185.0,0.0,75.0,0.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南伊豆町一條,南伊豆町,一條,22304011000,6.389987902546633,138.87406754355248,34.689080723709175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市柿崎,下田市,柿崎,22219064000,6.405484518089349,138.97084254268466,34.675713258562006,208.0,255.0,43.0,218.0,0.0,258.0,0.0,44.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町川津筏場,河津町,川津筏場,22302023000,6.488350684104089,138.97539833095075,34.76815390048334,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町大鍋,河津町,大鍋,22302016000,6.57481462042568,138.92301123709606,34.78167258900191,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町湯ケ野,河津町,湯ケ野,22302018000,6.6011732414745445,138.95555686207206,34.778588089334235,0.0,312.0,56.0,0.0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町下佐ケ野,河津町,下佐ケ野,22302019000,6.686923386990935,138.96164357089077,34.77733638416524,614.0,440.0,0.0,0.0,0.0,0.0,2733.0,0.0,0.0,0.0,0.0,0.0,535.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町浜,河津町,浜,22302001000,6.692483013075746,138.99771152411986,34.746984938544394,390.0,1767.0,143.0,181.0,0.0,0.0,315.0,131.0,52.0,163.0,49.0,0.0,375.0,0.0,0.0,1470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693.0,0.0,0.0,0.0
河津町梨本,河津町,梨本,22302015000,7.015873255196307,138.9482323658616,34.784285041683624,72.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町田中,河津町,田中,22302003000,7.049681652330381,138.99252083969478,34.76070328408381,951.0,1034.0,147.0,86.0,0.0,70.0,52.0,0.0,0.0,0.0,113.0,0.0,1197.0,0.0,0.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0
松崎町池代,松崎町,池代,22305014000,7.269168561669685,138.8681714468844,34.76339006639227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
